"date","Generation","Demand"
"2023-04-04 24:00","2348","5049"
"2023-04-04 24:00","2345","5040"
"2023-04-04 24:02","2316","5063"
"2023-04-04 24:03","2312","5051"
"2023-04-04 24:04","2319","5048"
"2023-04-04 24:04","2334","5038"
"2023-04-04 24:06","2342","5092"
"2023-04-04 24:07","2324","5092"
"2023-04-04 24:08","2322","5056"
"2023-04-04 24:09","2339","5045"
"2023-04-04 24:10","2326","5036"
"2023-04-04 24:10","2340","5035"
"2023-04-04 24:12","2338","5037"
"2023-04-04 24:12","2327","5035"
"2023-04-04 24:14","2336","5025"
"2023-04-04 24:15","2332","4988"
"2023-04-04 24:16","2332","4978"
"2023-04-04 24:17","2314","4978"
"2023-04-04 24:18","2326","4986"
"2023-04-04 24:19","2318","4981"
"2023-04-04 24:20","2322","4980"
"2023-04-04 24:21","2321","4963"
"2023-04-04 24:21","2322","4964"
"2023-04-04 24:23","2327","4963"
"2023-04-04 24:24","2334","4991"
"2023-04-04 24:25","2323","4960"
"2023-04-04 24:26","2318","4988"
"2023-04-04 24:27","2331","4987"
"2023-04-04 24:27","2320","4993"
"2023-04-04 24:29","2321","4994"
"2023-04-04 24:30","2324","5003"
"2023-04-04 24:30","2347","5045"
"2023-04-04 24:32","2351","5065"
"2023-04-04 24:33","2325","5020"
"2023-04-04 24:34","2326","5071"
"2023-04-04 24:35","2382","5061"
"2023-04-04 24:35","2349","5020"
"2023-04-04 24:36","2348","5036"
"2023-04-04 24:38","2368","5036"
"2023-04-04 24:39","2357","4992"
"2023-04-04 24:40","2376","5024"
"2023-04-04 24:41","2383","5029"
"2023-04-04 24:42","2346","5007"
"2023-04-04 24:43","2333","4984"
"2023-04-04 24:44","2326","5000"
"2023-04-04 24:45","2312","5013"
"2023-04-04 24:46","2321","5004"
"2023-04-04 24:47","2323","5005"
"2023-04-04 24:48","2329","5022"
"2023-04-04 24:49","2339","5011"
"2023-04-04 24:50","2329","4996"
"2023-04-04 24:51","2348","5028"
"2023-04-04 24:52","2344","5025"
"2023-04-04 24:53","2315","5025"
"2023-04-04 24:54","2315","5018"
"2023-04-04 24:55","2315","5024"
"2023-04-04 24:56","2314","5065"
"2023-04-04 24:56","2318","5084"
"2023-04-04 24:58","2315","5064"
"2023-04-04 24:59","2316","5048"
"2023-04-05 01:00","2322","5034"
"2023-04-05 01:01","2315","4956"
"2023-04-05 01:01","2313","4931"
"2023-04-05 01:03","2342","4966"
"2023-04-05 01:04","2364","4954"
"2023-04-05 01:05","2342","4926"
"2023-04-05 01:06","2338","4921"
"2023-04-05 01:07","2355","4977"
"2023-04-05 01:08","2352","4977"
"2023-04-05 01:08","2353","4952"
"2023-04-05 01:10","2341","4968"
"2023-04-05 01:11","2337","4970"
"2023-04-05 01:12","2328","4978"
"2023-04-05 01:13","2342","4991"
"2023-04-05 01:14","2350","4910"
"2023-04-05 01:15","2320","4917"
"2023-04-05 01:16","2311","4940"
"2023-04-05 01:17","2312","4949"
"2023-04-05 01:18","2315","4951"
"2023-04-05 01:18","2319","4957"
"2023-04-05 01:19","2322","4949"
"2023-04-05 01:21","2319","4968"
"2023-04-05 01:22","2321","4983"
"2023-04-05 01:23","2326","4971"
"2023-04-05 01:24","2310","5007"
"2023-04-05 01:25","2302","5019"
"2023-04-05 01:26","2307","5021"
"2023-04-05 01:27","2296","5024"
"2023-04-05 01:28","2300","4998"
"2023-04-05 01:28","2311","5014"
"2023-04-05 01:30","2312","4982"
"2023-04-05 01:31","2313","4999"
"2023-04-05 01:32","2296","4974"
"2023-04-05 01:33","2298","4987"
"2023-04-05 01:34","2299","4964"
"2023-04-05 01:35","2307","4964"
"2023-04-05 01:36","2318","4975"
"2023-04-05 01:37","2329","4967"
"2023-04-05 01:38","2355","4964"
"2023-04-05 01:39","2320","4916"
"2023-04-05 01:40","2324","4896"
"2023-04-05 01:41","2335","4897"
"2023-04-05 01:42","2321","4885"
"2023-04-05 01:42","2315","4880"
"2023-04-05 01:44","2310","4893"
"2023-04-05 01:45","2329","4899"
