"date","Generation","Demand"
"2023-08-16 24:00","2415","5477"
"2023-08-16 24:00","2413","5457"
"2023-08-16 24:02","2419","5454"
"2023-08-16 24:02","2408","5451"
"2023-08-16 24:04","2426","5443"
"2023-08-16 24:04","2431","5472"
"2023-08-16 24:06","2430","5536"
"2023-08-16 24:06","2378","5510"
"2023-08-16 24:08","2378","5520"
"2023-08-16 24:08","2382","5499"
"2023-08-16 24:10","2376","5525"
"2023-08-16 24:10","2381","5520"
"2023-08-16 24:12","2389","5505"
"2023-08-16 24:12","2394","5506"
"2023-08-16 24:14","2419","5509"
"2023-08-16 24:14","2382","5480"
"2023-08-16 24:16","2365","5467"
"2023-08-16 24:16","2373","5498"
"2023-08-16 24:18","2363","5512"
"2023-08-16 24:18","2366","5566"
"2023-08-16 24:20","2363","5559"
"2023-08-16 24:20","2373","5561"
"2023-08-16 24:22","2375","5557"
"2023-08-16 24:22","2357","5538"
"2023-08-16 24:24","2375","5544"
"2023-08-16 24:24","2366","5504"
"2023-08-16 24:25","2355","5495"
"2023-08-16 24:26","2362","5472"
"2023-08-16 24:28","2373","5505"
"2023-08-16 24:28","2378","5544"
"2023-08-16 24:30","2365","5562"
"2023-08-16 24:30","2366","5546"
"2023-08-16 24:31","2374","5575"
"2023-08-16 24:32","2363","5546"
"2023-08-16 24:33","2360","5509"
"2023-08-16 24:34","2373","5504"
"2023-08-16 24:36","2358","5484"
"2023-08-16 24:36","2359","5481"
"2023-08-16 24:38","2405","5448"
"2023-08-16 24:38","2412","5486"
"2023-08-16 24:40","2412","5502"
"2023-08-16 24:40","2388","5496"
"2023-08-16 24:42","2405","5487"
"2023-08-16 24:42","2388","5472"
"2023-08-16 24:44","2384","5451"
"2023-08-16 24:44","2381","5465"
"2023-08-16 24:45","2363","5442"
"2023-08-16 24:46","2360","5457"
"2023-08-16 24:47","2363","5480"
"2023-08-16 24:48","2364","5471"
"2023-08-16 24:50","2433","5497"
"2023-08-16 24:50","2414","5443"
"2023-08-16 24:51","2431","5478"
"2023-08-16 24:52","2433","5485"
"2023-08-16 24:53","2420","5459"
"2023-08-16 24:55","2417","5444"
"2023-08-16 24:56","2371","5442"
"2023-08-16 24:56","2375","5443"
"2023-08-16 24:58","2400","5466"
"2023-08-16 24:58","2385","5504"
"2023-08-17 01:00","2367","5522"
"2023-08-17 01:00","2365","5536"
"2023-08-17 01:02","2388","5544"
"2023-08-17 01:03","2387","5559"
"2023-08-17 01:03","2379","5579"
"2023-08-17 01:04","2368","5569"
"2023-08-17 01:06","2368","5540"
"2023-08-17 01:07","2382","5544"
"2023-08-17 01:08","2375","5546"
"2023-08-17 01:08","2382","5523"
"2023-08-17 01:10","2380","5511"
"2023-08-17 01:10","2382","5513"
"2023-08-17 01:11","2380","5526"
"2023-08-17 01:12","2376","5511"
"2023-08-17 01:14","2376","5524"
"2023-08-17 01:14","2376","5560"
"2023-08-17 01:16","2376","5551"
"2023-08-17 01:16","2385","5573"
"2023-08-17 01:18","2390","5572"
"2023-08-17 01:19","2378","5571"
"2023-08-17 01:20","2390","5571"
"2023-08-17 01:20","2374","5542"
"2023-08-17 01:21","2383","5555"
"2023-08-17 01:22","2372","5560"
"2023-08-17 01:23","2373","5557"
"2023-08-17 01:25","2415","5566"
"2023-08-17 01:26","2406","5522"
"2023-08-17 01:26","2418","5507"
"2023-08-17 01:27","2423","5470"
"2023-08-17 01:28","2423","5493"
"2023-08-17 01:30","2462","5516"
"2023-08-17 01:30","2438","5500"
"2023-08-17 01:32","2418","5490"
"2023-08-17 01:32","2373","5549"
"2023-08-17 01:34","2330","5529"
"2023-08-17 01:34","2333","5531"
"2023-08-17 01:36","2335","5526"
"2023-08-17 01:36","2336","5457"
"2023-08-17 01:38","2328","5435"
"2023-08-17 01:38","2326","5462"
"2023-08-17 01:40","2325","5468"
"2023-08-17 01:40","2322","5483"
"2023-08-17 01:42","2346","5513"
"2023-08-17 01:42","2327","5523"
"2023-08-17 01:44","2321","5516"
"2023-08-17 01:44","2320","5528"
"2023-08-17 01:46","2327","5581"
"2023-08-17 01:46","2332","5552"
"2023-08-17 01:47","2318","5611"
"2023-08-17 01:48","2309","5618"
"2023-08-17 01:50","2309","5585"
"2023-08-17 01:50","2312","5581"
"2023-08-17 01:52","2316","5553"
"2023-08-17 01:52","2313","5547"
"2023-08-17 01:54","2317","5568"
"2023-08-17 01:54","2315","5541"
"2023-08-17 01:56","2319","5532"
"2023-08-17 01:56","2324","5551"
"2023-08-17 01:58","2321","5533"
"2023-08-17 01:58","2331","5551"
"2023-08-17 02:00","2351","5545"
"2023-08-17 02:01","2342","5553"
"2023-08-17 02:02","2335","5540"
"2023-08-17 02:02","2378","5587"
"2023-08-17 02:03","2340","5518"
"2023-08-17 02:04","2368","5583"
"2023-08-17 02:06","2363","5600"
"2023-08-17 02:06","2366","5611"
"2023-08-17 02:07","2357","5590"
