"date","Generation","Demand"
"2023-02-22 24:00","2193","4715"
"2023-02-22 24:00","2143","4647"
"2023-02-22 24:02","2140","4663"
"2023-02-22 24:02","2152","4638"
"2023-02-22 24:04","2142","4640"
"2023-02-22 24:04","2150","4657"
"2023-02-22 24:06","2154","4657"
"2023-02-22 24:07","2159","4671"
"2023-02-22 24:08","2166","4659"
"2023-02-22 24:09","2155","4641"
"2023-02-22 24:10","2182","4667"
"2023-02-22 24:11","2188","4630"
"2023-02-22 24:12","2174","4600"
"2023-02-22 24:13","2178","4675"
"2023-02-22 24:14","2180","4637"
"2023-02-22 24:15","2182","4659"
"2023-02-22 24:16","2181","4680"
"2023-02-22 24:16","2170","4658"
"2023-02-22 24:18","2165","4652"
"2023-02-22 24:19","2162","4643"
"2023-02-22 24:20","2156","4674"
"2023-02-22 24:20","2159","4665"
"2023-02-22 24:22","2186","4684"
"2023-02-22 24:23","2163","4670"
"2023-02-22 24:24","2153","4663"
"2023-02-22 24:24","2146","4654"
"2023-02-22 24:26","2139","4679"
"2023-02-22 24:27","2133","4673"
"2023-02-22 24:28","2134","4669"
"2023-02-22 24:29","2173","4682"
"2023-02-22 24:30","2165","4681"
"2023-02-22 24:31","2137","4622"
"2023-02-22 24:32","2143","4612"
"2023-02-22 24:33","2145","4612"
"2023-02-22 24:34","2144","4651"
"2023-02-22 24:35","2143","4643"
"2023-02-22 24:36","2154","4666"
"2023-02-22 24:37","2172","4694"
"2023-02-22 24:38","2180","4631"
"2023-02-22 24:39","2144","4609"
"2023-02-22 24:40","2148","4612"
"2023-02-22 24:40","2143","4552"
"2023-02-22 24:42","2136","4562"
"2023-02-22 24:42","2133","4569"
"2023-02-22 24:44","2136","4542"
"2023-02-22 24:45","2139","4524"
"2023-02-22 24:46","2149","4510"
"2023-02-22 24:47","2163","4547"
"2023-02-22 24:48","2160","4529"
"2023-02-22 24:49","2160","4553"
"2023-02-22 24:50","2166","4546"
"2023-02-22 24:51","2161","4564"
"2023-02-22 24:52","2168","4598"
"2023-02-22 24:53","2160","4586"
"2023-02-22 24:54","2156","4617"
"2023-02-22 24:54","2159","4596"
"2023-02-22 24:56","2153","4584"
"2023-02-22 24:57","2156","4582"
"2023-02-22 24:58","2161","4595"
"2023-02-22 24:59","2160","4627"
"2023-02-23 01:00","2162","4646"
"2023-02-23 01:00","2161","4564"
"2023-02-23 01:02","2203","4595"
"2023-02-23 01:03","2212","4585"
"2023-02-23 01:04","2211","4568"
"2023-02-23 01:05","2223","4561"
"2023-02-23 01:06","2148","4553"
"2023-02-23 01:07","2178","4597"
"2023-02-23 01:08","2155","4632"
"2023-02-23 01:09","2157","4626"
"2023-02-23 01:10","2170","4603"
"2023-02-23 01:10","2154","4591"
"2023-02-23 01:12","2154","4601"
"2023-02-23 01:12","2153","4626"
"2023-02-23 01:14","2164","4597"
"2023-02-23 01:15","2153","4594"
"2023-02-23 01:16","2148","4601"
