"date","Generation","Demand"
"2023-01-11 24:00","2038","3689"
"2023-01-11 24:01","2006","3693"
"2023-01-11 24:02","2024","3718"
"2023-01-11 24:02","2023","3695"
"2023-01-11 24:04","1993","3675"
"2023-01-11 24:04","1956","3668"
"2023-01-11 24:05","1965","3689"
"2023-01-11 24:07","1966","3713"
"2023-01-11 24:08","1995","3697"
"2023-01-11 24:09","2006","3708"
"2023-01-11 24:10","1976","3645"
"2023-01-11 24:10","1977","3688"
"2023-01-11 24:12","1949","3666"
"2023-01-11 24:13","1956","3653"
"2023-01-11 24:14","1957","3698"
"2023-01-11 24:15","1959","3648"
"2023-01-11 24:16","1985","3634"
"2023-01-11 24:17","1965","3640"
"2023-01-11 24:18","1965","3626"
"2023-01-11 24:18","1959","3637"
"2023-01-11 24:20","1963","3632"
"2023-01-11 24:21","1962","3609"
"2023-01-11 24:22","1959","3646"
"2023-01-11 24:22","1960","3650"
"2023-01-11 24:24","1962","3672"
"2023-01-11 24:25","1954","3688"
"2023-01-11 24:26","1963","3654"
"2023-01-11 24:27","1955","3628"
"2023-01-11 24:28","1951","3670"
"2023-01-11 24:29","1949","3660"
"2023-01-11 24:30","1952","3685"
"2023-01-11 24:31","1953","3696"
"2023-01-11 24:32","1954","3690"
"2023-01-11 24:33","1960","3658"
"2023-01-11 24:34","1963","3689"
"2023-01-11 24:35","1963","3685"
"2023-01-11 24:36","1963","3713"
"2023-01-11 24:37","1964","3721"
"2023-01-11 24:38","1959","3673"
"2023-01-11 24:39","1976","3721"
"2023-01-11 24:40","1981","3723"
"2023-01-11 24:41","1954","3708"
"2023-01-11 24:42","1959","3691"
"2023-01-11 24:43","1981","3709"
"2023-01-11 24:44","1953","3728"
"2023-01-11 24:45","1955","3701"
"2023-01-11 24:46","1963","3713"
"2023-01-11 24:46","2019","3742"
"2023-01-11 24:48","2032","3623"
"2023-01-11 24:49","1997","3606"
"2023-01-11 24:50","1984","3583"
"2023-01-11 24:50","2018","3610"
"2023-01-11 24:51","1977","3662"
"2023-01-11 24:53","1958","3672"
"2023-01-11 24:54","1961","3706"
"2023-01-11 24:55","1954","3695"
"2023-01-11 24:56","1956","3685"
"2023-01-11 24:57","1956","3683"
"2023-01-11 24:58","1977","3692"
"2023-01-11 24:59","1973","3671"
"2023-01-12 01:00","1953","3696"
"2023-01-12 01:01","1951","3699"
"2023-01-12 01:02","1950","3702"
"2023-01-12 01:03","1945","3722"
"2023-01-12 01:04","1955","3735"
"2023-01-12 01:05","1958","3729"
"2023-01-12 01:06","1951","3680"
"2023-01-12 01:07","1943","3677"
"2023-01-12 01:08","1944","3678"
"2023-01-12 01:09","1945","3721"
"2023-01-12 01:10","1945","3733"
"2023-01-12 01:11","1944","3690"
"2023-01-12 01:12","1946","3691"
"2023-01-12 01:13","1940","3691"
"2023-01-12 01:14","1940","3688"
"2023-01-12 01:14","1945","3716"
"2023-01-12 01:16","1946","3707"
"2023-01-12 01:17","1945","3648"
"2023-01-12 01:18","1958","3695"
"2023-01-12 01:19","1946","3679"
"2023-01-12 01:20","1945","3691"
"2023-01-12 01:21","1945","3665"
"2023-01-12 01:22","1945","3651"
"2023-01-12 01:23","1956","3639"
"2023-01-12 01:24","1947","3603"
"2023-01-12 01:25","1951","3668"
"2023-01-12 01:26","1949","3678"
"2023-01-12 01:27","1963","3633"
"2023-01-12 01:28","1946","3640"
"2023-01-12 01:29","1968","3586"
"2023-01-12 01:30","1976","3607"
"2023-01-12 01:31","1969","3634"
"2023-01-12 01:32","1960","3611"
"2023-01-12 01:33","1983","3600"
"2023-01-12 01:34","2061","3662"
"2023-01-12 01:35","2024","3611"
