"date","Generation","Demand"
"2023-07-20 24:00","2099","4672"
"2023-07-20 24:01","2088","4650"
"2023-07-20 24:02","2160","4638"
"2023-07-20 24:03","2142","4591"
"2023-07-20 24:04","2148","4611"
"2023-07-20 24:05","2149","4589"
"2023-07-20 24:06","2155","4606"
"2023-07-20 24:07","2095","4601"
"2023-07-20 24:08","2093","4578"
"2023-07-20 24:08","2059","4555"
"2023-07-20 24:10","2049","4596"
"2023-07-20 24:11","2070","4646"
"2023-07-20 24:12","2087","4584"
"2023-07-20 24:13","2050","4542"
"2023-07-20 24:13","2075","4586"
"2023-07-20 24:15","2098","4607"
"2023-07-20 24:16","2054","4571"
"2023-07-20 24:17","2050","4627"
"2023-07-20 24:18","2051","4618"
"2023-07-20 24:19","2055","4625"
"2023-07-20 24:19","2057","4603"
"2023-07-20 24:21","2057","4708"
"2023-07-20 24:22","2061","4702"
"2023-07-20 24:22","2059","4697"
"2023-07-20 24:24","2059","4648"
"2023-07-20 24:25","2060","4639"
"2023-07-20 24:26","2073","4613"
"2023-07-20 24:27","2061","4592"
"2023-07-20 24:28","2058","4592"
"2023-07-20 24:28","2063","4558"
"2023-07-20 24:30","2079","4580"
"2023-07-20 24:31","2084","4599"
"2023-07-20 24:32","2056","4613"
"2023-07-20 24:32","2076","4649"
"2023-07-20 24:34","2054","4663"
"2023-07-20 24:35","2051","4615"
"2023-07-20 24:35","2055","4657"
"2023-07-20 24:37","2050","4643"
"2023-07-20 24:38","2036","4680"
"2023-07-20 24:39","2020","4628"
"2023-07-20 24:40","2019","4599"
"2023-07-20 24:41","2013","4603"
"2023-07-20 24:42","2010","4608"
"2023-07-20 24:42","2017","4664"
"2023-07-20 24:44","2019","4645"
"2023-07-20 24:44","2015","4627"
"2023-07-20 24:46","2021","4646"
"2023-07-20 24:46","2094","4631"
"2023-07-20 24:48","2097","4604"
"2023-07-20 24:48","2080","4575"
"2023-07-20 24:50","2098","4592"
"2023-07-20 24:51","2073","4574"
"2023-07-20 24:52","2100","4597"
"2023-07-20 24:52","2069","4579"
"2023-07-20 24:53","2054","4627"
"2023-07-20 24:55","2057","4600"
"2023-07-20 24:56","2011","4559"
"2023-07-20 24:56","2030","4527"
"2023-07-20 24:57","2028","4521"
"2023-07-20 24:58","2019","4582"
"2023-07-21 01:00","1999","4603"
"2023-07-21 01:00","1973","4589"
"2023-07-21 01:02","1984","4568"
"2023-07-21 01:03","1962","4537"
"2023-07-21 01:04","1961","4599"
"2023-07-21 01:05","1961","4577"
"2023-07-21 01:06","1962","4630"
"2023-07-21 01:07","1961","4646"
"2023-07-21 01:07","1962","4639"
"2023-07-21 01:09","1962","4628"
"2023-07-21 01:10","1958","4604"
"2023-07-21 01:10","1952","4631"
"2023-07-21 01:12","1955","4641"
"2023-07-21 01:13","1942","4609"
"2023-07-21 01:14","1937","4603"
"2023-07-21 01:15","1932","4599"
"2023-07-21 01:16","1931","4584"
"2023-07-21 01:16","1926","4644"
"2023-07-21 01:18","1919","4655"
"2023-07-21 01:18","1912","4676"
"2023-07-21 01:20","1856","4624"
"2023-07-21 01:20","1855","4643"
"2023-07-21 01:21","1855","4597"
"2023-07-21 01:23","1852","4601"
"2023-07-21 01:24","1855","4597"
"2023-07-21 01:25","1858","4587"
"2023-07-21 01:26","1853","4639"
"2023-07-21 01:26","1854","4623"
"2023-07-21 01:28","1872","4629"
"2023-07-21 01:29","1891","4574"
"2023-07-21 01:30","1893","4633"
"2023-07-21 01:31","1879","4632"
"2023-07-21 01:31","1858","4607"
"2023-07-21 01:33","1875","4645"
"2023-07-21 01:34","1879","4613"
"2023-07-21 01:35","1858","4594"
"2023-07-21 01:35","1856","4614"
"2023-07-21 01:37","1856","4577"
"2023-07-21 01:38","1859","4604"
"2023-07-21 01:39","1864","4551"
"2023-07-21 01:40","1876","4635"
"2023-07-21 01:40","1873","4611"
"2023-07-21 01:42","1900","4591"
"2023-07-21 01:42","1894","4609"
"2023-07-21 01:43","1887","4587"
"2023-07-21 01:45","1893","4586"
"2023-07-21 01:46","1885","4582"
"2023-07-21 01:47","1874","4617"
"2023-07-21 01:48","1883","4597"
"2023-07-21 01:49","1920","4624"
"2023-07-21 01:50","1880","4553"
"2023-07-21 01:51","1893","4556"
"2023-07-21 01:52","1908","4569"
"2023-07-21 01:54","1916","4556"
"2023-07-21 01:55","1931","4565"
"2023-07-21 01:56","1921","4569"
"2023-07-21 01:57","1900","4532"
"2023-07-21 01:58","1887","4492"
"2023-07-21 01:59","1879","4482"
"2023-07-21 02:00","1857","4481"
"2023-07-21 02:00","1855","4518"
"2023-07-21 02:02","1857","4555"
"2023-07-21 02:03","1855","4542"
"2023-07-21 02:03","1857","4518"
"2023-07-21 02:04","1872","4520"
"2023-07-21 02:06","1872","4486"
"2023-07-21 02:07","1883","4520"
"2023-07-21 02:07","1883","4508"
"2023-07-21 02:09","1871","4524"
"2023-07-21 02:10","1881","4544"
"2023-07-21 02:11","1906","4529"
"2023-07-21 02:12","1904","4526"
"2023-07-21 02:13","1899","4511"
"2023-07-21 02:14","1900","4520"
"2023-07-21 02:15","1904","4499"
"2023-07-21 02:16","1895","4489"
"2023-07-21 02:16","1886","4512"
"2023-07-21 02:18","1887","4501"
"2023-07-21 02:18","1884","4542"
"2023-07-21 02:20","1906","4542"
"2023-07-21 02:21","1866","4512"
"2023-07-21 02:22","1862","4571"
"2023-07-21 02:23","1863","4600"
"2023-07-21 02:24","1863","4553"
"2023-07-21 02:25","1861","4560"
"2023-07-21 02:26","1861","4576"
"2023-07-21 02:27","1864","4564"
"2023-07-21 02:28","1860","4594"
"2023-07-21 02:29","1863","4575"
"2023-07-21 02:30","1859","4551"
"2023-07-21 02:30","1865","4543"
"2023-07-21 02:32","1883","4559"
"2023-07-21 02:33","1877","4559"
"2023-07-21 02:33","1885","4600"
"2023-07-21 02:35","1872","4576"
"2023-07-21 02:36","1871","4613"
"2023-07-21 02:36","1870","4605"
"2023-07-21 02:38","1864","4628"
"2023-07-21 02:39","1903","4604"
"2023-07-21 02:40","1888","4569"
"2023-07-21 02:40","1861","4562"
"2023-07-21 02:42","1876","4610"
"2023-07-21 02:43","1873","4613"
"2023-07-21 02:44","1888","4557"
"2023-07-21 02:45","1889","4533"
"2023-07-21 02:46","1891","4506"
"2023-07-21 02:46","1889","4515"
"2023-07-21 02:48","1880","4500"
"2023-07-21 02:49","1881","4518"
"2023-07-21 02:50","1887","4532"
"2023-07-21 02:51","1877","4447"
"2023-07-21 02:52","1925","4505"
"2023-07-21 02:52","1917","4508"
"2023-07-21 02:54","1929","4514"
"2023-07-21 02:55","1919","4509"
"2023-07-21 02:55","1885","4506"
"2023-07-21 02:57","1873","4521"
"2023-07-21 02:58","1881","4523"
"2023-07-21 02:59","1875","4519"
"2023-07-21 03:00","1871","4560"
"2023-07-21 03:01","1869","4594"
"2023-07-21 03:02","1869","4572"
"2023-07-21 03:02","1894","4561"
"2023-07-21 03:04","1880","4490"
"2023-07-21 03:05","1899","4471"
"2023-07-21 03:06","1885","4449"
"2023-07-21 03:07","1889","4475"
"2023-07-21 03:08","1898","4478"
"2023-07-21 03:09","1897","4449"
"2023-07-21 03:10","1874","4469"
"2023-07-21 03:11","1885","4501"
"2023-07-21 03:12","1892","4531"
"2023-07-21 03:13","1913","4512"
"2023-07-21 03:14","1936","4518"
"2023-07-21 03:15","1893","4512"
"2023-07-21 03:16","1895","4530"
"2023-07-21 03:17","1886","4519"
"2023-07-21 03:18","1872","4510"
"2023-07-21 03:19","1878","4524"
"2023-07-21 03:20","1872","4486"
"2023-07-21 03:21","1887","4510"
"2023-07-21 03:21","1876","4508"
"2023-07-21 03:23","1890","4496"
"2023-07-21 03:24","1874","4482"
"2023-07-21 03:25","1874","4515"
"2023-07-21 03:26","1883","4494"
"2023-07-21 03:26","1911","4526"
"2023-07-21 03:28","1914","4519"
"2023-07-21 03:29","1902","4507"
"2023-07-21 03:30","1910","4550"
"2023-07-21 03:31","1871","4521"
"2023-07-21 03:32","1882","4533"
"2023-07-21 03:33","1872","4503"
"2023-07-21 03:34","1879","4531"
"2023-07-21 03:35","1899","4548"
"2023-07-21 03:35","1888","4522"
"2023-07-21 03:37","1890","4529"
"2023-07-21 03:38","1882","4531"
"2023-07-21 03:39","1879","4546"
"2023-07-21 03:40","1889","4569"
"2023-07-21 03:41","1899","4523"
"2023-07-21 03:42","1897","4551"
"2023-07-21 03:43","1882","4558"
"2023-07-21 03:43","1880","4548"
"2023-07-21 03:45","1877","4537"
"2023-07-21 03:46","1874","4519"
"2023-07-21 03:47","1879","4508"
"2023-07-21 03:48","1875","4439"
"2023-07-21 03:49","1916","4515"
"2023-07-21 03:50","1894","4509"
"2023-07-21 03:51","1896","4542"
"2023-07-21 03:52","1882","4546"
"2023-07-21 03:53","1909","4541"
"2023-07-21 03:54","1902","4492"
"2023-07-21 03:54","1902","4490"
"2023-07-21 03:56","1933","4522"
"2023-07-21 03:56","1919","4496"
"2023-07-21 03:58","1898","4529"
"2023-07-21 03:59","1896","4522"
"2023-07-21 04:00","1893","4563"
"2023-07-21 04:01","1884","4541"
"2023-07-21 04:02","1937","4526"
"2023-07-21 04:02","1931","4528"
"2023-07-21 04:03","1914","4514"
"2023-07-21 04:05","1891","4507"
"2023-07-21 04:06","1892","4522"
"2023-07-21 04:06","1915","4543"
"2023-07-21 04:08","1921","4540"
"2023-07-21 04:09","1891","4489"
"2023-07-21 04:10","1905","4443"
"2023-07-21 04:11","1883","4483"
"2023-07-21 04:12","1905","4529"
"2023-07-21 04:12","1883","4478"
"2023-07-21 04:14","1889","4472"
"2023-07-21 04:14","1889","4455"
"2023-07-21 04:16","1889","4448"
"2023-07-21 04:17","1879","4463"
"2023-07-21 04:18","1879","4479"
"2023-07-21 04:19","1882","4453"
"2023-07-21 04:20","1884","4486"
"2023-07-21 04:21","1884","4488"
"2023-07-21 04:22","1890","4492"
"2023-07-21 04:23","1888","4434"
"2023-07-21 04:24","1885","4429"
"2023-07-21 04:25","1889","4444"
"2023-07-21 04:26","1899","4426"
"2023-07-21 04:27","1895","4414"
"2023-07-21 04:28","1891","4465"
"2023-07-21 04:29","1907","4508"
"2023-07-21 04:30","1891","4472"
"2023-07-21 04:31","1885","4501"
"2023-07-21 04:32","1895","4521"
"2023-07-21 04:33","1888","4487"
"2023-07-21 04:34","1917","4468"
"2023-07-21 04:35","1896","4443"
"2023-07-21 04:35","1902","4380"
"2023-07-21 04:37","1911","4430"
"2023-07-21 04:38","1878","4451"
"2023-07-21 04:39","1883","4470"
"2023-07-21 04:40","1893","4505"
"2023-07-21 04:41","1909","4497"
"2023-07-21 04:41","1898","4485"
"2023-07-21 04:42","1879","4492"
"2023-07-21 04:44","1881","4453"
"2023-07-21 04:44","1884","4468"
"2023-07-21 04:46","1921","4494"
"2023-07-21 04:47","1899","4460"
"2023-07-21 04:48","1890","4430"
"2023-07-21 04:49","1880","4463"
"2023-07-21 04:50","1884","4500"
"2023-07-21 04:51","1880","4576"
"2023-07-21 04:52","1879","4595"
"2023-07-21 04:53","1880","4596"
"2023-07-21 04:53","1880","4565"
"2023-07-21 04:55","1900","4533"
"2023-07-21 04:56","1893","4532"
"2023-07-21 04:57","1882","4528"
"2023-07-21 04:58","1884","4507"
"2023-07-21 04:59","1881","4511"
"2023-07-21 04:59","1891","4551"
"2023-07-21 05:00","1888","4585"
"2023-07-21 05:02","1890","4553"
"2023-07-21 05:03","1879","4530"
"2023-07-21 05:03","1872","4551"
"2023-07-21 05:05","1874","4529"
