"date","Generation","Demand"
"2023-06-09 24:00","2234","4925"
"2023-06-09 24:00","2236","4900"
"2023-06-09 24:02","2232","4921"
"2023-06-09 24:03","2230","4893"
"2023-06-09 24:04","2231","4890"
"2023-06-09 24:05","2220","4910"
"2023-06-09 24:06","2237","4926"
"2023-06-09 24:07","2229","4890"
"2023-06-09 24:08","2225","4892"
"2023-06-09 24:09","2231","4866"
"2023-06-09 24:10","2235","4829"
"2023-06-09 24:11","2262","4818"
"2023-06-09 24:12","2244","4857"
"2023-06-09 24:13","2246","4848"
"2023-06-09 24:14","2241","4851"
"2023-06-09 24:15","2255","4855"
"2023-06-09 24:16","2243","4865"
"2023-06-09 24:17","2254","4806"
"2023-06-09 24:18","2259","4862"
"2023-06-09 24:19","2240","4872"
"2023-06-09 24:20","2239","4844"
"2023-06-09 24:20","2246","4855"
"2023-06-09 24:22","2242","4847"
"2023-06-09 24:23","2239","4811"
"2023-06-09 24:23","2245","4806"
"2023-06-09 24:25","2244","4790"
"2023-06-09 24:26","2243","4823"
"2023-06-09 24:26","2250","4816"
"2023-06-09 24:28","2259","4863"
"2023-06-09 24:29","2262","4884"
"2023-06-09 24:30","2256","4872"
"2023-06-09 24:31","2237","4870"
"2023-06-09 24:32","2257","4867"
"2023-06-09 24:33","2265","4911"
"2023-06-09 24:34","2250","4893"
"2023-06-09 24:35","2251","4858"
"2023-06-09 24:35","2238","4837"
"2023-06-09 24:37","2238","4854"
"2023-06-09 24:38","2242","4843"
"2023-06-09 24:38","2251","4830"
"2023-06-09 24:40","2266","4867"
"2023-06-09 24:41","2240","4868"
"2023-06-09 24:41","2242","4865"
"2023-06-09 24:43","2246","4872"
"2023-06-09 24:44","2244","4815"
"2023-06-09 24:44","2241","4847"
"2023-06-09 24:46","2247","4863"
"2023-06-09 24:47","2248","4889"
"2023-06-09 24:47","2238","4915"
"2023-06-09 24:49","2232","4869"
"2023-06-09 24:50","2233","4873"
"2023-06-09 24:50","2235","4877"
"2023-06-09 24:52","2236","4876"
"2023-06-09 24:53","2234","4883"
"2023-06-09 24:54","2227","4873"
"2023-06-09 24:55","2248","4868"
"2023-06-09 24:56","2275","4860"
"2023-06-09 24:57","2234","4854"
"2023-06-09 24:58","2233","4843"
"2023-06-09 24:59","2230","4848"
"2023-06-10 01:00","2229","4869"
"2023-06-10 01:00","2235","4861"
"2023-06-10 01:02","2237","4809"
"2023-06-10 01:03","2240","4763"
"2023-06-10 01:04","2254","4765"
"2023-06-10 01:05","2247","4758"
"2023-06-10 01:06","2250","4770"
"2023-06-10 01:06","2270","4794"
"2023-06-10 01:08","2279","4751"
"2023-06-10 01:09","2284","4802"
"2023-06-10 01:10","2260","4780"
"2023-06-10 01:11","2275","4813"
"2023-06-10 01:12","2266","4809"
"2023-06-10 01:12","2327","4884"
"2023-06-10 01:14","2335","4855"
"2023-06-10 01:14","2327","4805"
"2023-06-10 01:16","2331","4798"
"2023-06-10 01:17","2317","4831"
"2023-06-10 01:18","2317","4842"
"2023-06-10 01:19","2329","4841"
"2023-06-10 01:20","2327","4849"
"2023-06-10 01:21","2315","4826"
"2023-06-10 01:22","2318","4871"
"2023-06-10 01:22","2308","4875"
"2023-06-10 01:24","2299","4839"
"2023-06-10 01:25","2279","4806"
"2023-06-10 01:26","2307","4823"
"2023-06-10 01:27","2298","4803"
"2023-06-10 01:28","2316","4804"
"2023-06-10 01:28","2316","4834"
"2023-06-10 01:30","2312","4834"
"2023-06-10 01:31","2270","4842"
"2023-06-10 01:32","2233","4889"
"2023-06-10 01:33","2295","4880"
"2023-06-10 01:34","2300","4853"
"2023-06-10 01:35","2305","4857"
"2023-06-10 01:36","2293","4829"
"2023-06-10 01:37","2288","4829"
"2023-06-10 01:37","2297","4856"
"2023-06-10 01:39","2249","4918"
"2023-06-10 01:40","2243","4919"
"2023-06-10 01:41","2241","4942"
"2023-06-10 01:42","2234","4895"
"2023-06-10 01:43","2235","4907"
"2023-06-10 01:44","2237","4923"
"2023-06-10 01:45","2244","4897"
"2023-06-10 01:46","2244","4847"
"2023-06-10 01:47","2249","4840"
"2023-06-10 01:48","2252","4831"
"2023-06-10 01:49","2235","4805"
"2023-06-10 01:51","2253","4826"
"2023-06-10 01:52","2246","4819"
"2023-06-10 01:53","2257","4904"
"2023-06-10 01:54","2252","4881"
"2023-06-10 01:55","2230","4857"
"2023-06-10 01:56","2231","4880"
"2023-06-10 01:57","2228","4848"
"2023-06-10 01:57","2240","4818"
"2023-06-10 01:59","2228","4809"
"2023-06-10 02:00","2225","4790"
"2023-06-10 02:01","2222","4780"
"2023-06-10 02:02","2255","4811"
"2023-06-10 02:03","2262","4796"
"2023-06-10 02:04","2234","4785"
"2023-06-10 02:05","2238","4810"
"2023-06-10 02:06","2240","4791"
"2023-06-10 02:06","2233","4821"
"2023-06-10 02:08","2244","4835"
"2023-06-10 02:09","2269","4850"
"2023-06-10 02:10","2273","4883"
"2023-06-10 02:11","2305","4869"
"2023-06-10 02:11","2325","4791"
"2023-06-10 02:13","2325","4773"
"2023-06-10 02:14","2322","4792"
"2023-06-10 02:15","2304","4748"
"2023-06-10 02:16","2286","4784"
"2023-06-10 02:17","2247","4800"
"2023-06-10 02:17","2262","4787"
"2023-06-10 02:19","2242","4785"
"2023-06-10 02:20","2242","4783"
"2023-06-10 02:21","2241","4821"
"2023-06-10 02:22","2251","4811"
"2023-06-10 02:23","2265","4824"
"2023-06-10 02:24","2271","4862"
"2023-06-10 02:25","2271","4895"
"2023-06-10 02:26","2257","4843"
"2023-06-10 02:27","2249","4822"
"2023-06-10 02:28","2269","4842"
"2023-06-10 02:29","2271","4815"
"2023-06-10 02:30","2259","4797"
"2023-06-10 02:31","2264","4816"
"2023-06-10 02:32","2261","4840"
"2023-06-10 02:33","2255","4815"
"2023-06-10 02:34","2252","4834"
"2023-06-10 02:34","2262","4828"
"2023-06-10 02:36","2256","4827"
"2023-06-10 02:37","2249","4827"
