"date","Generation","Demand"
"2023-03-13 24:00","2177","5009"
"2023-03-13 24:01","2178","4975"
"2023-03-13 24:02","2180","5014"
"2023-03-13 24:02","2182","5018"
"2023-03-13 24:04","2221","5004"
"2023-03-13 24:05","2210","4970"
"2023-03-13 24:06","2199","4952"
"2023-03-13 24:07","2197","4966"
"2023-03-13 24:08","2183","4976"
"2023-03-13 24:09","2183","4971"
"2023-03-13 24:10","2189","4986"
"2023-03-13 24:11","2194","4983"
"2023-03-13 24:12","2225","4953"
"2023-03-13 24:13","2223","4954"
"2023-03-13 24:14","2226","4977"
"2023-03-13 24:15","2224","4983"
"2023-03-13 24:16","2204","4995"
"2023-03-13 24:17","2210","4970"
"2023-03-13 24:18","2231","4969"
"2023-03-13 24:19","2226","4953"
"2023-03-13 24:20","2208","4953"
"2023-03-13 24:21","2204","4965"
"2023-03-13 24:22","2193","4960"
"2023-03-13 24:23","2192","4950"
"2023-03-13 24:24","2199","4978"
"2023-03-13 24:25","2201","4978"
"2023-03-13 24:26","2186","4990"
"2023-03-13 24:27","2183","4996"
"2023-03-13 24:28","2185","5011"
"2023-03-13 24:29","2187","5000"
"2023-03-13 24:30","2188","4958"
"2023-03-13 24:31","2200","4972"
"2023-03-13 24:32","2200","4977"
"2023-03-13 24:33","2213","4975"
"2023-03-13 24:34","2190","4930"
"2023-03-13 24:35","2197","4967"
"2023-03-13 24:36","2180","4915"
"2023-03-13 24:37","2194","4934"
"2023-03-13 24:38","2173","4922"
"2023-03-13 24:39","2180","4925"
"2023-03-13 24:40","2176","4918"
"2023-03-13 24:41","2179","4920"
"2023-03-13 24:42","2193","4932"
"2023-03-13 24:43","2184","4893"
"2023-03-13 24:44","2177","4921"
"2023-03-13 24:45","2173","4935"
"2023-03-13 24:46","2174","4926"
"2023-03-13 24:47","2175","4951"
"2023-03-13 24:48","2179","4938"
"2023-03-13 24:48","2182","4979"
"2023-03-13 24:50","2187","4961"
"2023-03-13 24:51","2183","4964"
"2023-03-13 24:52","2182","4978"
"2023-03-13 24:53","2180","4971"
"2023-03-13 24:54","2181","4945"
"2023-03-13 24:55","2197","4942"
"2023-03-13 24:56","2209","4952"
"2023-03-13 24:57","2210","4935"
"2023-03-13 24:58","2195","4932"
"2023-03-13 24:59","2172","4969"
"2023-03-14 01:00","2167","4976"
"2023-03-14 01:00","2167","4998"
"2023-03-14 01:02","2206","4945"
"2023-03-14 01:03","2213","4950"
"2023-03-14 01:04","2174","4967"
"2023-03-14 01:05","2189","4964"
"2023-03-14 01:06","2186","4947"
"2023-03-14 01:07","2192","4933"
"2023-03-14 01:08","2180","4918"
"2023-03-14 01:09","2192","4951"
"2023-03-14 01:10","2200","4944"
"2023-03-14 01:11","2214","4944"
"2023-03-14 01:12","2209","4968"
"2023-03-14 01:13","2184","4969"
"2023-03-14 01:14","2184","4977"
"2023-03-14 01:15","2184","4975"
"2023-03-14 01:16","2187","4958"
"2023-03-14 01:17","2177","4991"
"2023-03-14 01:18","2180","4971"
"2023-03-14 01:19","2174","4980"
"2023-03-14 01:20","2179","4987"
"2023-03-14 01:21","2173","5019"
"2023-03-14 01:22","2176","4993"
"2023-03-14 01:23","2176","4976"
"2023-03-14 01:24","2187","4958"
"2023-03-14 01:25","2203","4907"
"2023-03-14 01:26","2198","4917"
"2023-03-14 01:27","2205","4927"
"2023-03-14 01:28","2193","4959"
"2023-03-14 01:29","2197","4975"
"2023-03-14 01:30","2202","4984"
"2023-03-14 01:30","2196","4944"
"2023-03-14 01:32","2201","4940"
"2023-03-14 01:33","2185","4956"
"2023-03-14 01:34","2191","4930"
"2023-03-14 01:35","2201","4956"
"2023-03-14 01:36","2206","4957"
"2023-03-14 01:37","2250","4967"
"2023-03-14 01:38","2242","4949"
"2023-03-14 01:39","2251","4964"
"2023-03-14 01:40","2247","4987"
"2023-03-14 01:41","2247","4970"
"2023-03-14 01:42","2239","4970"
"2023-03-14 01:42","2235","4951"
"2023-03-14 01:44","2216","4938"
"2023-03-14 01:44","2239","4984"
"2023-03-14 01:46","2263","4981"
"2023-03-14 01:47","2264","4937"
"2023-03-14 01:48","2261","4942"
"2023-03-14 01:49","2249","4916"
"2023-03-14 01:50","2255","4903"
"2023-03-14 01:51","2254","4899"
"2023-03-14 01:52","2229","4902"
"2023-03-14 01:53","2228","4933"
"2023-03-14 01:54","2229","4935"
"2023-03-14 01:54","2197","4930"
"2023-03-14 01:56","2203","4909"
"2023-03-14 01:57","2171","4884"
"2023-03-14 01:58","2173","4914"
"2023-03-14 01:59","2183","4871"
"2023-03-14 02:00","2173","4874"
"2023-03-14 02:01","2173","4882"
"2023-03-14 02:02","2171","4890"
