"date","Generation","Demand"
"2023-05-19 24:00","2517","4643"
"2023-05-19 24:01","2506","4640"
"2023-05-19 24:02","2504","4627"
"2023-05-19 24:03","2509","4612"
"2023-05-19 24:04","2525","4580"
"2023-05-19 24:05","2508","4577"
"2023-05-19 24:06","2512","4578"
"2023-05-19 24:07","2516","4593"
"2023-05-19 24:08","2529","4628"
"2023-05-19 24:09","2534","4641"
"2023-05-19 24:10","2540","4651"
"2023-05-19 24:11","2539","4648"
"2023-05-19 24:12","2533","4640"
"2023-05-19 24:13","2587","4705"
"2023-05-19 24:14","2565","4643"
"2023-05-19 24:15","2552","4616"
"2023-05-19 24:16","2577","4684"
"2023-05-19 24:17","2577","4654"
"2023-05-19 24:18","2584","4654"
"2023-05-19 24:19","2557","4682"
"2023-05-19 24:20","2602","4683"
"2023-05-19 24:21","2598","4630"
"2023-05-19 24:22","2586","4621"
"2023-05-19 24:23","2600","4622"
"2023-05-19 24:24","2594","4645"
"2023-05-19 24:25","2594","4681"
"2023-05-19 24:26","2589","4637"
"2023-05-19 24:27","2576","4640"
"2023-05-19 24:28","2595","4638"
"2023-05-19 24:29","2603","4646"
"2023-05-19 24:30","2616","4661"
"2023-05-19 24:31","2627","4668"
"2023-05-19 24:32","2581","4645"
"2023-05-19 24:33","2569","4640"
"2023-05-19 24:34","2544","4619"
"2023-05-19 24:35","2541","4576"
"2023-05-19 24:36","2537","4649"
"2023-05-19 24:37","2538","4616"
"2023-05-19 24:38","2546","4645"
"2023-05-19 24:39","2543","4646"
"2023-05-19 24:40","2537","4654"
"2023-05-19 24:41","2554","4647"
"2023-05-19 24:42","2540","4644"
"2023-05-19 24:43","2542","4698"
"2023-05-19 24:44","2546","4685"
"2023-05-19 24:45","2535","4632"
"2023-05-19 24:46","2535","4632"
"2023-05-19 24:47","2530","4592"
"2023-05-19 24:48","2528","4592"
"2023-05-19 24:49","2522","4598"
"2023-05-19 24:50","2520","4603"
"2023-05-19 24:51","2521","4613"
"2023-05-19 24:52","2517","4639"
"2023-05-19 24:53","2550","4603"
"2023-05-19 24:54","2510","4580"
"2023-05-19 24:55","2511","4671"
"2023-05-19 24:56","2501","4630"
"2023-05-19 24:57","2510","4594"
"2023-05-19 24:58","2486","4584"
"2023-05-19 24:59","2505","4640"
"2023-05-20 01:00","2505","4635"
"2023-05-20 01:01","2495","4616"
"2023-05-20 01:02","2485","4604"
"2023-05-20 01:03","2495","4595"
"2023-05-20 01:04","2484","4594"
"2023-05-20 01:05","2530","4583"
"2023-05-20 01:06","2511","4587"
"2023-05-20 01:07","2510","4639"
"2023-05-20 01:08","2489","4551"
"2023-05-20 01:09","2487","4533"
"2023-05-20 01:10","2504","4541"
"2023-05-20 01:11","2513","4542"
"2023-05-20 01:12","2506","4543"
"2023-05-20 01:13","2516","4565"
"2023-05-20 01:14","2498","4579"
"2023-05-20 01:15","2488","4592"
"2023-05-20 01:16","2495","4625"
"2023-05-20 01:17","2504","4562"
"2023-05-20 01:18","2501","4560"
"2023-05-20 01:19","2501","4560"
"2023-05-20 01:20","2505","4541"
"2023-05-20 01:21","2511","4521"
"2023-05-20 01:22","2504","4484"
"2023-05-20 01:23","2510","4483"
"2023-05-20 01:24","2520","4497"
"2023-05-20 01:25","2533","4503"
"2023-05-20 01:26","2519","4501"
"2023-05-20 01:27","2499","4523"
"2023-05-20 01:28","2498","4513"
"2023-05-20 01:29","2527","4528"
"2023-05-20 01:30","2497","4469"
"2023-05-20 01:31","2493","4471"
"2023-05-20 01:32","2504","4491"
"2023-05-20 01:33","2501","4505"
"2023-05-20 01:34","2492","4495"
"2023-05-20 01:35","2501","4481"
"2023-05-20 01:36","2532","4462"
"2023-05-20 01:37","2561","4460"
"2023-05-20 01:38","2546","4480"
"2023-05-20 01:39","2528","4474"
"2023-05-20 01:40","2532","4462"
"2023-05-20 01:41","2538","4453"
"2023-05-20 01:42","2513","4424"
"2023-05-20 01:43","2485","4456"
"2023-05-20 01:44","2486","4445"
"2023-05-20 01:45","2486","4472"
"2023-05-20 01:46","2503","4452"
"2023-05-20 01:47","2505","4475"
"2023-05-20 01:48","2512","4487"
"2023-05-20 01:49","2509","4437"
"2023-05-20 01:50","2495","4416"
"2023-05-20 01:51","2510","4425"
"2023-05-20 01:52","2517","4450"
"2023-05-20 01:53","2500","4468"
"2023-05-20 01:54","2501","4455"
"2023-05-20 01:55","2494","4406"
"2023-05-20 01:56","2493","4419"
"2023-05-20 01:57","2492","4442"
