"date","Generation","Demand"
"2023-09-11 24:00","2344","4962"
"2023-09-11 24:02","2341","4911"
"2023-09-11 24:04","2331","4900"
"2023-09-11 24:05","2325","4915"
"2023-09-11 24:06","2338","4967"
"2023-09-11 24:07","2332","4949"
"2023-09-11 24:08","2326","4928"
"2023-09-11 24:09","2331","4942"
"2023-09-11 24:10","2372","4959"
"2023-09-11 24:11","2309","4946"
"2023-09-11 24:12","2303","4929"
"2023-09-11 24:13","2314","4916"
"2023-09-11 24:14","2333","4930"
"2023-09-11 24:15","2312","4969"
"2023-09-11 24:16","2301","4979"
"2023-09-11 24:17","2297","4987"
"2023-09-11 24:18","2304","4959"
"2023-09-11 24:19","2305","4949"
"2023-09-11 24:20","2301","4939"
"2023-09-11 24:21","2328","4936"
"2023-09-11 24:22","2328","4932"
"2023-09-11 24:22","2306","4877"
"2023-09-11 24:25","2293","4874"
"2023-09-11 24:27","2289","4906"
"2023-09-11 24:28","2319","4913"
"2023-09-11 24:29","2317","4902"
"2023-09-11 24:30","2343","4912"
"2023-09-11 24:31","2316","4915"
"2023-09-11 24:32","2314","4885"
"2023-09-11 24:32","2313","4897"
"2023-09-11 24:34","2339","4959"
"2023-09-11 24:35","2343","4959"
"2023-09-11 24:36","2343","4954"
"2023-09-11 24:37","2322","4934"
"2023-09-11 24:38","2328","4939"
"2023-09-11 24:40","2314","4950"
"2023-09-11 24:41","2317","4959"
"2023-09-11 24:42","2321","4926"
"2023-09-11 24:43","2314","4942"
"2023-09-11 24:45","2309","4993"
"2023-09-11 24:47","2355","4933"
"2023-09-11 24:48","2357","4937"
"2023-09-11 24:49","2366","4974"
"2023-09-11 24:50","2354","4963"
"2023-09-11 24:51","2349","4928"
"2023-09-11 24:52","2340","4930"
"2023-09-11 24:52","2342","4935"
"2023-09-11 24:54","2361","4930"
"2023-09-11 24:55","2337","4935"
"2023-09-11 24:56","2315","4948"
"2023-09-11 24:56","2316","4937"
"2023-09-11 24:58","2328","4907"
"2023-09-11 24:58","2326","4906"
"2023-09-12 01:00","2341","4942"
"2023-09-12 01:00","2314","4919"
"2023-09-12 01:02","2294","4996"
"2023-09-12 01:02","2273","4925"
"2023-09-12 01:04","2294","4937"
"2023-09-12 01:05","2281","4897"
"2023-09-12 01:06","2276","4879"
"2023-09-12 01:06","2283","4877"
"2023-09-12 01:08","2285","4856"
"2023-09-12 01:09","2293","4862"
"2023-09-12 01:11","2279","4867"
"2023-09-12 01:12","2277","4878"
"2023-09-12 01:13","2277","4852"
"2023-09-12 01:14","2271","4871"
"2023-09-12 01:15","2277","4881"
"2023-09-12 01:16","2272","4895"
"2023-09-12 01:17","2292","4924"
"2023-09-12 01:18","2290","4927"
"2023-09-12 01:19","2284","4900"
"2023-09-12 01:20","2302","4927"
"2023-09-12 01:20","2292","4906"
"2023-09-12 01:22","2284","4936"
"2023-09-12 01:23","2272","4927"
"2023-09-12 01:24","2272","4948"
"2023-09-12 01:25","2282","4953"
"2023-09-12 01:26","2322","4940"
"2023-09-12 01:27","2323","4977"
"2023-09-12 01:28","2319","4970"
"2023-09-12 01:28","2303","4954"
"2023-09-12 01:30","2270","4939"
"2023-09-12 01:31","2285","4928"
"2023-09-12 01:32","2266","4922"
"2023-09-12 01:32","2275","4931"
"2023-09-12 01:34","2275","4931"
"2023-09-12 01:35","2281","4897"
"2023-09-12 01:36","2304","4882"
"2023-09-12 01:37","2315","4904"
"2023-09-12 01:37","2287","4891"
"2023-09-12 01:39","2354","4959"
"2023-09-12 01:40","2273","4917"
"2023-09-12 01:41","2271","4916"
"2023-09-12 01:42","2274","4944"
"2023-09-12 01:43","2278","4935"
"2023-09-12 01:44","2284","4929"
"2023-09-12 01:44","2273","4894"
"2023-09-12 01:46","2282","4913"
"2023-09-12 01:47","2281","4926"
"2023-09-12 01:48","2271","4968"
"2023-09-12 01:49","2266","4963"
"2023-09-12 01:50","2267","4953"
"2023-09-12 01:51","2309","4984"
"2023-09-12 01:52","2292","4918"
"2023-09-12 01:53","2293","4946"
"2023-09-12 01:54","2297","4985"
"2023-09-12 01:55","2280","4935"
"2023-09-12 01:56","2276","4884"
"2023-09-12 01:57","2291","4932"
"2023-09-12 01:58","2284","4922"
"2023-09-12 02:00","2289","4928"
"2023-09-12 02:00","2313","4923"
"2023-09-12 02:02","2327","4922"
"2023-09-12 02:02","2322","4898"
"2023-09-12 02:04","2331","4890"
"2023-09-12 02:05","2295","4911"
"2023-09-12 02:06","2265","4897"
"2023-09-12 02:07","2266","4896"
"2023-09-12 02:07","2267","4912"
"2023-09-12 02:10","2256","4932"
"2023-09-12 02:10","2298","4921"
"2023-09-12 02:12","2296","4924"
"2023-09-12 02:12","2307","4893"
"2023-09-12 02:15","2312","4856"
"2023-09-12 02:16","2267","4872"
"2023-09-12 02:17","2272","4869"
"2023-09-12 02:18","2258","4875"
"2023-09-12 02:20","2284","4917"
"2023-09-12 02:21","2275","4951"
"2023-09-12 02:22","2318","4962"
"2023-09-12 02:23","2289","4927"
"2023-09-12 02:24","2278","4945"
"2023-09-12 02:25","2269","4944"
"2023-09-12 02:26","2271","4927"
"2023-09-12 02:26","2287","4919"
"2023-09-12 02:28","2270","4875"
"2023-09-12 02:28","2285","4893"
"2023-09-12 02:30","2268","4884"
"2023-09-12 02:31","2279","4913"
"2023-09-12 02:32","2268","4841"
"2023-09-12 02:32","2265","4876"
"2023-09-12 02:34","2272","4871"
"2023-09-12 02:35","2284","4856"
"2023-09-12 02:36","2264","4835"
"2023-09-12 02:37","2263","4839"
"2023-09-12 02:38","2273","4874"
"2023-09-12 02:39","2281","4886"
"2023-09-12 02:40","2279","4905"
"2023-09-12 02:41","2281","4844"
"2023-09-12 02:42","2276","4816"
"2023-09-12 02:43","2282","4840"
"2023-09-12 02:44","2268","4861"
"2023-09-12 02:45","2283","4881"
"2023-09-12 02:46","2269","4854"
"2023-09-12 02:47","2258","4843"
"2023-09-12 02:48","2311","4863"
"2023-09-12 02:49","2316","4870"
"2023-09-12 02:50","2324","4860"
"2023-09-12 02:51","2344","4887"
"2023-09-12 02:52","2339","4895"
"2023-09-12 02:53","2253","4855"
"2023-09-12 02:54","2249","4930"
"2023-09-12 02:55","2275","4910"
"2023-09-12 02:56","2284","4927"
"2023-09-12 02:57","2278","4891"
"2023-09-12 02:58","2269","4861"
"2023-09-12 02:59","2262","4847"
"2023-09-12 03:00","2255","4850"
"2023-09-12 03:00","2256","4885"
"2023-09-12 03:02","2272","4883"
"2023-09-12 03:02","2259","4866"
"2023-09-12 03:04","2256","4868"
"2023-09-12 03:05","2256","4858"
"2023-09-12 03:06","2258","4867"
"2023-09-12 03:07","2262","4863"
"2023-09-12 03:08","2261","4839"
"2023-09-12 03:10","2262","4887"
"2023-09-12 03:11","2262","4898"
"2023-09-12 03:12","2264","4917"
"2023-09-12 03:13","2260","4881"
"2023-09-12 03:14","2258","4883"
"2023-09-12 03:15","2252","4897"
"2023-09-12 03:16","2250","4854"
"2023-09-12 03:17","2251","4842"
"2023-09-12 03:18","2254","4812"
"2023-09-12 03:19","2280","4815"
"2023-09-12 03:20","2260","4803"
"2023-09-12 03:21","2258","4842"
"2023-09-12 03:22","2260","4871"
"2023-09-12 03:23","2301","4901"
"2023-09-12 03:24","2291","4910"
"2023-09-12 03:24","2346","4922"
"2023-09-12 03:26","2339","4879"
"2023-09-12 03:27","2331","4900"
"2023-09-12 03:28","2298","4901"
"2023-09-12 03:29","2280","4882"
"2023-09-12 03:30","2274","4865"
"2023-09-12 03:31","2271","4836"
"2023-09-12 03:31","2281","4854"
"2023-09-12 03:33","2295","4857"
"2023-09-12 03:34","2310","4892"
"2023-09-12 03:35","2272","4870"
"2023-09-12 03:36","2282","4857"
"2023-09-12 03:36","2277","4845"
"2023-09-12 03:39","2296","4864"
"2023-09-12 03:40","2281","4851"
"2023-09-12 03:41","2312","4881"
"2023-09-12 03:42","2302","4843"
"2023-09-12 03:43","2297","4875"
"2023-09-12 03:44","2290","4865"
"2023-09-12 03:45","2287","4899"
"2023-09-12 03:45","2285","4910"
"2023-09-12 03:47","2295","4931"
"2023-09-12 03:48","2275","4878"
"2023-09-12 03:49","2275","4831"
"2023-09-12 03:50","2299","4845"
